SeriesDate,Inventory
4/3/2009,29975
4/10/2009,29233
4/17/2009,29542
4/24/2009,29763
5/1/2009,29819
5/8/2009,28826
5/15/2009,29620
5/22/2009,30684
5/29/2009,29918
6/5/2009,28976
6/12/2009,28971
6/19/2009,28238
6/26/2009,28601
7/3/2009,30184
7/10/2009,30803
7/17/2009,30811
7/24/2009,32121
7/31/2009,33325
8/7/2009,33606
8/14/2009,33264
8/21/2009,31801
8/28/2009,31212
9/4/2009,31269
9/11/2009,27591
9/18/2009,28072
9/25/2009,26530
10/2/2009,25124
10/9/2009,25541
10/16/2009,26004
10/23/2009,25519
10/30/2009,25549
11/6/2009,26969
11/13/2009,28319
11/20/2009,29515
11/27/2009,30889
12/4/2009,33353
12/11/2009,34135
12/18/2009,34706
12/25/2009,34512
1/1/2010,35670
1/8/2010,34473
1/15/2010,33725
1/22/2010,33034
1/29/2010,31997
2/5/2010,31322
2/12/2010,30612
2/19/2010,29902
2/26/2010,29969
3/5/2010,30600
3/12/2010,29919
3/19/2010,30453
3/26/2010,30936
4/2/2010,31164
4/9/2010,32257
4/16/2010,34111
4/23/2010,34565
4/30/2010,36244
5/7/2010,37028
5/14/2010,37945
5/21/2010,37621
5/28/2010,37889
6/4/2010,37416
6/11/2010,37610
6/18/2010,36784
6/25/2010,35989
7/2/2010,35805
7/9/2010,36119
7/16/2010,37104
7/23/2010,37170
7/30/2010,37836
8/6/2010,37722
8/13/2010,37035
8/20/2010,36256
8/27/2010,35753
9/3/2010,35535
9/10/2010,34954
9/17/2010,34744
9/24/2010,34345
10/1/2010,35094
10/8/2010,35061
10/15/2010,34010
10/22/2010,33659
10/29/2010,33545
11/5/2010,31799
11/12/2010,33065
11/19/2010,33625
11/26/2010,34535
12/3/2010,34929
12/10/2010,35911
12/17/2010,36390
12/24/2010,36635
12/31/2010,37493
1/7/2011,37376
1/14/2011,36805
1/21/2011,37667
1/28/2011,38334
2/4/2011,37407
2/11/2011,37657
2/18/2011,37440
2/25/2011,38570
3/4/2011,40263
3/11/2011,40020
3/18/2011,40197
3/25/2011,41886
4/1/2011,41870
4/8/2011,41896
4/15/2011,41126
4/22/2011,40388
4/29/2011,40490
5/6/2011,41614
5/13/2011,40023
5/20/2011,40079
5/27/2011,39920
6/3/2011,38904
6/10/2011,37763
6/17/2011,38036
6/24/2011,37494
7/1/2011,37034
7/8/2011,37649
7/15/2011,36672
7/22/2011,37102
7/29/2011,35953
8/5/2011,34581
8/12/2011,33688
8/19/2011,33662
8/26/2011,33085
9/2/2011,32689
9/9/2011,32229
9/16/2011,31998
9/23/2011,30920
9/30/2011,30089
10/7/2011,30621
10/14/2011,31092
10/21/2011,31511
10/28/2011,32071
11/4/2011,31139
11/11/2011,32029
11/18/2011,32016
11/25/2011,31301
12/2/2011,31105
12/9/2011,31188
12/16/2011,30198
12/23/2011,29909
12/30/2011,29296
1/6/2012,29105
1/13/2012,28273
1/20/2012,28647
1/27/2012,30123
2/3/2012,30490
2/10/2012,32480
2/17/2012,32165
2/24/2012,33813
3/2/2012,36178
3/9/2012,38697
3/16/2012,38521
3/23/2012,39564
3/30/2012,40293
4/6/2012,40585
4/13/2012,41177
4/20/2012,41751
4/27/2012,42964
5/4/2012,44127
5/11/2012,45127
5/18/2012,46795
5/25/2012,46849
6/1/2012,47775
6/8/2012,47395
6/15/2012,47755
6/22/2012,47416
6/29/2012,47641
7/6/2012,46782
7/13/2012,46282
7/20/2012,46485
7/27/2012,45100
8/3/2012,44298
8/10/2012,45197
8/17/2012,45242
8/24/2012,44821
8/31/2012,44915
9/7/2012,44087
9/14/2012,43813
9/21/2012,43730
9/28/2012,43865
10/5/2012,44165
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
